,full_name,spec,class,ad,q,a,e,dv,per,price,profit,moid,diameter,profitable
645,2988 Korhonen (1943 EM),S,MBA,2.930516112618342,2.284917963654975,2.607717038136658,0.1237860817569147,10.518781,1538.116119956255,4.531883907639617e-40,3.3357541410091527e-41,1.29484,13.671,0
643,3151 Talbot (1983 HF),S,MBA,3.140380624931766,2.388009241287577,2.764194933109672,0.1360923165425574,11.431262,1678.616264219567,4.4793800942227585e-40,3.028210531049067e-41,1.4014,13.618,0
642,2064 Thomsen (1942 RQ),S,MCA,2.89755692370518,1.459836021753174,2.178696472729177,0.3299497933622261,7.513473,1174.609535977232,4.471490390895678e-40,4.833171937690809e-41,0.443941,13.61,0
640,1904 Massevitch (1972 JM),R,MBA,2.942551245000979,2.544949075111384,2.743750160056182,0.07245597206296898,10.758058,1660.02745655119,4.366854573802908e-40,3.137999291187307e-41,1.57964,13.503,0
639,1055 Tynka (1925 WG),S,MBA,2.656582779177721,1.741153874900615,2.198868327039168,0.2081591000743903,8.247464,1190.960238545179,4.343611218459622e-40,4.161957965687599e-41,0.728105,13.479,0
638,1147 Stavropolis (1929 LF),S,MBA,2.797336823094401,1.744679884394795,2.271008353744598,0.2317598121037096,8.2391,1250.047524758573,4.2964124282516815e-40,4.119124513911354e-41,0.728039,13.43,0
637,825 Tanina (1916 ZL),S,MBA,2.392546197209378,2.059002736842775,2.225774467026077,0.07492750620242779,8.908833,1212.886496748896,4.289697786244051e-40,3.765318154170786e-41,1.05521,13.423,0
636,2157 Ashbrook (A924 EF),S,MBA,3.094703514503097,2.470721366679461,2.782712440591279,0.1121176120682903,10.203315,1695.512208634879,4.289697786244051e-40,3.251754244324561e-41,1.47503,13.423,0
635,2268 Szmytowna (1942 VW),S,MBA,3.279753002041443,2.598077160892998,2.938915081467221,0.1159740622393427,10.138739,1840.259138901341,4.2887391231547245e-40,3.268302047096571e-41,1.60997,13.422,0
634,1968 Mehltretter (1932 BK),S,MBA,3.047692202681802,2.433375124837618,2.74053366375971,0.1120798270000829,9.877893,1657.10923877409,4.036932044183405e-40,3.164291663507932e-41,1.42179,13.154,0
631,5685 Sanenobufukui (1990 XA),S,MBA,3.057528625007575,2.544277591440473,2.800903108224024,0.09162241850853262,10.261257,1712.164764099046,3.890507362669197e-40,2.931613593873743e-41,1.56138,12.993,0
630,3860 Plovdiv (1986 PM4),S,MBA,3.236562956727691,2.376923591901695,2.806743274314694,0.1531382247697538,10.001766,1717.522609480723,3.730170783563713e-40,2.88567922427981e-41,1.3732,12.812,0
629,2737 Kotka (1938 DU),S,MBA,3.283755780307877,2.208348630297072,2.746052205302475,0.1958096695929985,9.735664,1662.117074525382,3.690136629554983e-40,2.936915273354848e-41,1.24386,12.766,0
628,1433 Geramtina (1937 UC),S,MBA,3.274218111585231,2.317658476628373,2.795938294106803,0.1710623651768471,9.90155,1707.614368368501,3.622052540603057e-40,2.831571779899567e-41,1.34662,12.687,0
